Test Data ID,Scenario,Field Name,Test Data,Data Type,Validation Rule,Expected Result,Notes
TD001,Valid Sign Up,state,IA,String,Required,Valid,Standard valid input
TD002,Valid Sign Up,postcode,20851,String,Required,Valid,Standard valid input
TD003,Valid Sign Up,phone,4899622610,String,Required + Numbers only,Valid,Standard valid input
TD004,Valid Sign Up,phone,1682318383,String,Required + Numbers only,Valid,Standard valid input
TD005,Valid Sign Up,city,Seattle,String,Required,Valid,Standard valid input
TD006,Valid Sign Up,phone,1048910087,String,Required + Numbers only,Valid,Standard valid input
TD007,Valid Sign Up,state,GA,String,Required,Valid,Standard valid input
TD008,Valid Sign Up,first_name,Elizabeth,String,Required + Letters only,Valid,Standard valid input
TD009,Valid Sign Up,last_name,Hernandez,String,Required + Letters only,Valid,Standard valid input
TD010,Valid Sign Up,country,Switzerland,String,Required,Valid,Standard valid input
TD011,Valid Sign Up,phone,5774044847,String,Required + Numbers only,Valid,Standard valid input
TD012,Valid Sign Up,state,ND,String,Required,Valid,Standard valid input
TD013,Valid Sign Up,address,72 Elm St,String,Required,Valid,Standard valid input
TD014,Valid Sign Up,city,Phoenix,String,Required,Valid,Standard valid input
TD015,Valid Sign Up,country,China,String,Required,Valid,Standard valid input
TD016,Valid Sign Up,address,4980 Pine Rd,String,Required,Valid,Standard valid input
TD017,Valid Sign Up,postcode,26465,String,Required,Valid,Standard valid input
TD018,Valid Sign Up,address,4475 Pine Rd,String,Required,Valid,Standard valid input
TD019,Valid Sign Up,country,Italy,String,Required,Valid,Standard valid input
TD020,Valid Sign Up,address,8872 Cedar Ln,String,Required,Valid,Standard valid input
TD021,Valid Sign Up,dob,1973-06-03,String,Required,Valid,Standard valid input
TD022,Valid Sign Up,email,elizabeth.allen870@protonmail.com,String,Required + Email format,Valid,Standard valid input
TD023,Valid Sign Up,country,Mexico,String,Required,Valid,Standard valid input
TD024,Valid Sign Up,country,France,String,Required,Valid,Standard valid input
TD025,Valid Sign Up,email,kenneth.williams5@hotmail.com,String,Required + Email format,Valid,Standard valid input
TD026,Valid Sign Up,last_name,Clark,String,Required + Letters only,Valid,Standard valid input
TD027,Valid Sign Up,email,amber.jones964@aol.com,String,Required + Email format,Valid,Standard valid input
TD028,Valid Sign Up,email,lauren.anderson730@live.com,String,Required + Email format,Valid,Standard valid input
TD029,Valid Sign Up,last_name,Clark,String,Required + Letters only,Valid,Standard valid input
TD030,Valid Sign Up,city,Charlotte,String,Required,Valid,Standard valid input
TD031,Valid Sign Up,postcode,82774,String,Required,Valid,Standard valid input
TD032,Valid Sign Up,postcode,25386,String,Required,Valid,Standard valid input
TD033,Valid Sign Up,password,R6F*IQdyGdUVWlXp5,String,Required + 9-40 chars,Valid,Standard valid input
TD034,Valid Sign Up,phone,7196756732,String,Required + Numbers only,Valid,Standard valid input
TD035,Valid Sign Up,last_name,Jackson,String,Required + Letters only,Valid,Standard valid input
TD036,Valid Sign Up,first_name,Danielle,String,Required + Letters only,Valid,Standard valid input
TD037,Valid Sign Up,address,8265 Oak Ave,String,Required,Valid,Standard valid input
TD038,Valid Sign Up,password,3o8YP&V0pjhOvUF,String,Required + 9-40 chars,Valid,Standard valid input
TD039,Valid Sign Up,phone,2807408989,String,Required + Numbers only,Valid,Standard valid input
TD040,Valid Sign Up,state,WA,String,Required,Valid,Standard valid input
TD041,Valid Sign Up,first_name,Jane,String,Required + Letters only,Valid,Standard valid input
TD042,Valid Sign Up,phone,5102672716,String,Required + Numbers only,Valid,Standard valid input
TD043,Valid Sign Up,country,Sweden,String,Required,Valid,Standard valid input
TD044,Valid Sign Up,last_name,Moore,String,Required + Letters only,Valid,Standard valid input
TD045,Valid Sign Up,password,dSOeJ2cj6SljBn%yWUeK6Z8KzS^c,String,Required + 9-40 chars,Valid,Standard valid input
TD046,Valid Sign Up,first_name,Danielle,String,Required + Letters only,Valid,Standard valid input
TD047,Valid Sign Up,state,KY,String,Required,Valid,Standard valid input
TD048,Valid Sign Up,city,Detroit,String,Required,Valid,Standard valid input
TD049,Valid Sign Up,first_name,Kayla,String,Required + Letters only,Valid,Standard valid input
TD050,Valid Sign Up,password,VSX5FrYSZ0Ni&z!L6ztJL0%tn0UsDsCwEBXO,String,Required + 9-40 chars,Valid,Standard valid input
TD051,Valid Sign Up,email,steven.lee963@yahoo.com,String,Required + Email format,Valid,Standard valid input
TD052,Valid Sign Up,city,Fort Worth,String,Required,Valid,Standard valid input
TD053,Valid Sign Up,password,vKmFhO#Q4takhwn,String,Required + 9-40 chars,Valid,Standard valid input
TD054,Valid Sign Up,phone,9327577641,String,Required + Numbers only,Valid,Standard valid input
TD055,Valid Sign Up,state,RI,String,Required,Valid,Standard valid input
TD056,Valid Sign Up,first_name,Jane,String,Required + Letters only,Valid,Standard valid input
TD057,Valid Sign Up,password,JMgbJTO%lhpWZ7zcK42VfR%FPYEzU,String,Required + 9-40 chars,Valid,Standard valid input
TD058,Valid Sign Up,country,Japan,String,Required,Valid,Standard valid input
TD059,Valid Sign Up,email,amanda.williams632@hotmail.com,String,Required + Email format,Valid,Standard valid input
TD060,Valid Sign Up,state,LA,String,Required,Valid,Standard valid input
TD061,Valid Sign Up,postcode,53281,String,Required,Valid,Standard valid input
TD062,Valid Sign Up,country,Germany,String,Required,Valid,Standard valid input
TD063,Valid Sign Up,state,MO,String,Required,Valid,Standard valid input
TD064,Valid Sign Up,phone,9226710134,String,Required + Numbers only,Valid,Standard valid input
TD065,Valid Sign Up,password,RZnYC*wH8u@D0sQ@Tcch,String,Required + 9-40 chars,Valid,Standard valid input
TD066,Valid Sign Up,email,donald.thomas602@yahoo.com,String,Required + Email format,Valid,Standard valid input
TD067,Valid Sign Up,dob,2001-07-23,String,Required,Valid,Standard valid input
TD068,Valid Sign Up,city,Detroit,String,Required,Valid,Standard valid input
TD069,Valid Sign Up,password,IO9^4^LlaiSOJ@SucA#9$!ZNE9,String,Required + 9-40 chars,Valid,Standard valid input
TD070,Valid Sign Up,password,t8D&l^fdMO,String,Required + 9-40 chars,Valid,Standard valid input
TD071,Valid Sign Up,last_name,Gonzalez,String,Required + Letters only,Valid,Standard valid input
TD072,Valid Sign Up,state,SD,String,Required,Valid,Standard valid input
TD073,Valid Sign Up,country,Canada,String,Required,Valid,Standard valid input
TD074,Valid Sign Up,last_name,Thomas,String,Required + Letters only,Valid,Standard valid input
TD075,Valid Sign Up,password,*6G0*1N&pFbZJus,String,Required + 9-40 chars,Valid,Standard valid input
TD076,Valid Sign Up,city,Oklahoma City,String,Required,Valid,Standard valid input
TD077,Valid Sign Up,postcode,32544,String,Required,Valid,Standard valid input
